"Título","Data","Material de Aula"
"72-Criatividade e Bloqueios Mentais","11/25/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/72-%20Criatividade%20e%20Bloqueios%20Mentais?csf=1&web=1&e=E3DB6J"
"73-Analogia","11/27/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/73-%20Analogia?csf=1&web=1&e=SFhabn"
"74-Esboços e Mockups ","12/2/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/74-%20Esbo%C3%A7os%20e%20Mockups?csf=1&web=1&e=3hppY3"
"75-Moodboard ","12/4/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/75-%20Moodboard?csf=1&web=1&e=5puTEk"
"76-Jornada Feliz","12/9/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/76-%20Jornada%20Feliz?csf=1&web=1&e=gpe4pi"
"77-Shared Workspace for Applied Projects (SWAP)","12/14/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/77-%20SWAP?csf=1&web=1&e=NqfrYv"
"78-Inspirações ","12/15/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/78-%20Inspira%C3%A7%C3%B5es?csf=1&web=1&e=rbRZ1w"
"79-Valor para pessoas e para empresas","12/18/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/79-%20Valor%20para%20pessoas%20e%20para%20empresas?csf=1&web=1&e=LQUmLC"
"80-Matriz SWOT e TOWS ","12/21/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/80-%20SWOT%20e%20TOWS?csf=1&web=1&e=g0iTfX"
"81-Minimum Viable Product (MVP) e Protótipos","12/29/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/81-%20MVP%20e%20prot%C3%B3tipos?csf=1&web=1&e=iQYnpz"
"82-Prototipação","1/5/2027 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/82-%20Prototipa%C3%A7%C3%A3o?csf=1&web=1&e=5fbrGc"
"83-Pesquisa de anterioridade","1/8/2027 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/83-%20Pesquisa%20de%20anterioridade?csf=1&web=1&e=IfCCPg"
"84-Canvas da Proposta de Valor e Lean Canvas","1/12/2027 12:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/84-%20Canvas%20da%20Proposta%20de%20Valor%20e%20Lean%20Canvas?csf=1&web=1&e=nnRCQ9"
